Epic Name,Epic Description,Feature Name,Feature Description,Acceptance Criteria,Estimated Effort,Dependencies,Priority (High/Medium/Low)
E1 - Foundations & Environment,"Establish the core repo, tooling, infrastructure, LLM plumbing, configuration and observability needed for all later RAG work.",Repo & CI/CD baseline,"Create project repository and CI/CD pipeline to build, test and deploy the RAG service to a development environment.",Git repository created with basic branching rules and code ownership ; CI runs lint and tests on each pull request ; Docker image built reproducibly in CI ; Hello-world service deploys automatically to dev from main branch ; README documents local development and CI/CD workflow,4 dev-days,None (project kickoff),High
E1 - Foundations & Environment,"Establish the core repo, tooling, infrastructure, LLM plumbing, configuration and observability needed for all later RAG work.",LLM + LangChain baseline,Integrate chosen LLM provider and configure LangChain primitives for chat and embeddings.,"At least one chat model and one embedding model configured via environment variables or secret manager ; Simple healthcheck endpoint or script calls the LLM and returns a response ; LangChain wrappers for LLM and embeddings implemented and unit-tested ; Timeouts and authentication errors handled gracefully ; Configuration (models, rate limits, env vars) documented",4 dev-days,Repo & CI/CD baseline,High
E1 - Foundations & Environment,"Establish the core repo, tooling, infrastructure, LLM plumbing, configuration and observability needed for all later RAG work.","Config, auth & observability baseline","Implement configuration management, basic internal authentication and structured logging/metrics.","Configuration handled via env/config files with no secrets in code ; Secrets (API keys, DB credentials) stored securely and rotation procedure documented ; Internal authentication (e.g., shared token or SSO placeholder) enforced on API endpoints ; Structured logs emitted with correlation IDs and response times ; Basic metrics (request count, latency, error rate) exposed or logged",5 dev-days,LLM + LangChain baseline ; Repo & CI/CD baseline,High
E2 - Document RAG MVP,Deliver a usable 'chat with our documents' MVP over a limited corpus using Chroma and a simple RAG chain.,Ingestion pipeline v1 (parsing & chunking),Build a batch ingestion job to parse a pilot set of documents and split them into heuristic chunks with metadata.,"Supported document formats defined (e.g., PDF, DOCX, Markdown) ; Documents from a configured location parsed into clean text with document-level metadata (title, path, timestamp) ; Heuristic chunking implemented (e.g., 300 500 token chunks) ; Failed parses logged without crashing the ingestion run ; Pipeline can be rerun idempotently for the same corpus",6 dev-days,E1   Foundations & Environment,High
E2 - Document RAG MVP,Deliver a usable 'chat with our documents' MVP over a limited corpus using Chroma and a simple RAG chain.,Chroma setup & vector index,"Deploy Chroma, define collection schema and index chunks with embeddings and metadata.","Chroma instance running locally or in a container with persistence enabled ; Embeddings computed for all chunks using chosen embedding model ; Chunks stored with metadata (doc_id, source, creation time, ACL placeholders) ; Test query against Chroma returns reasonable top-k chunks for sample questions ; Indexing job can be rerun without duplicating records",5 dev-days,Ingestion pipeline v1 (parsing & chunking) ; LLM + LangChain baseline,High
E2 - Document RAG MVP,Deliver a usable 'chat with our documents' MVP over a limited corpus using Chroma and a simple RAG chain.,Simple RAG chain + REST API,Implement a LangChain RAG chain (Chroma retriever plus generator) and expose it via a REST endpoint.,"Given a question, the chain retrieves top-k chunks from Chroma and calls the LLM to generate an answer ; Answers include at least doc_id and section title as citations ; Prompt template instructs model to answer only from provided context or say I don't know ; REST endpoint POST /rag/query returns answer and cited sources ; Unit and integration tests exist for a set of pilot questions",7 dev-days,"Chroma setup & vector index ; Config, auth & observability baseline",High
E2 - Document RAG MVP,Deliver a usable 'chat with our documents' MVP over a limited corpus using Chroma and a simple RAG chain.,Minimal UI & evaluation set,Build a simple web UI and a small evaluation set to test the MVP end-to-end.,Single-page UI or simple front-end allows interactive questions and shows answer plus sources ; 20 30 test questions defined for the pilot corpus ; Manual evaluation pass performed and results recorded ; Key failure modes captured as backlog items for later epics,4 dev-days,Simple RAG chain + REST API,Medium
"E3 - Multi-Format Ingestion (DOC/DOCX, CSV, XLSX)",Extend the ingestion layer so DOC/DOCX are handled as unstructured documents and CSV/XLSX as structured/tabular data while reusing the existing Unstructured and Structured agents.,DOC/DOCX parsing & ingestion,Add support in the ingestion pipeline for .doc and .docx files and route them into the existing unstructured document flow.,"Ingestion job detects DOC/DOCX via file extension or MIME type ; DOC/DOCX files parsed into text with basic structure (headings, paragraphs) ; Parsed DOC/DOCX normalized into the same internal Document model used for PDFs ; DOC/DOCX content passes through chunking, embedding, Chroma indexing and lexical indexing ; At least 5 10 sample DOC/DOCX files ingested and retrievable via the Docs Agent",4 dev-days,E2   Document RAG MVP,High
"E3 - Multi-Format Ingestion (DOC/DOCX, CSV, XLSX)",Extend the ingestion layer so DOC/DOCX are handled as unstructured documents and CSV/XLSX as structured/tabular data while reusing the existing Unstructured and Structured agents.,Spreadsheet classifier (tabular vs report-like),Implement classification logic to decide whether a CSV/XLSX file should be treated as structured table data or as a report-like unstructured document.,"Ingestion detects .csv and .xlsx and loads them into an intermediate DataFrame representation ; Heuristics (row/column counts, numeric cell ratio, long-text presence) classify sheets as tabular or report_like ; Classification decisions logged and overridable via configuration ; Manual review of a sample set shows classification is reasonable for the majority of cases",4 dev-days,Ingestion pipeline v1 (parsing & chunking),High
"E3 - Multi-Format Ingestion (DOC/DOCX, CSV, XLSX)",Extend the ingestion layer so DOC/DOCX are handled as unstructured documents and CSV/XLSX as structured/tabular data while reusing the existing Unstructured and Structured agents.,Tabular CSV/XLSX - SQL ingestion,"For sheets classified as tabular, load them into a SQL store as tables with metadata linking back to the original file.","Tabular CSV/XLSX sheets mapped to DB table names using a consistent naming convention ; Columns typed (string, numeric, date) based on inference or config ; Tables loaded into the DB idempotently so re-ingestion updates or replaces data without duplication ; Metadata catalog links file and sheet to table name and domain labels ; Several real CSV/XLSX files loaded and queryable via SQL",6 dev-days,"Spreadsheet classifier (tabular vs report-like) ; Config, auth & observability baseline",High
"E3 - Multi-Format Ingestion (DOC/DOCX, CSV, XLSX)",Extend the ingestion layer so DOC/DOCX are handled as unstructured documents and CSV/XLSX as structured/tabular data while reusing the existing Unstructured and Structured agents.,Spreadsheet-to-text flattening (report-like sheets),"For sheets classified as report_like, convert them into a textual representation and route them into the unstructured document pipeline.","Report-like sheets rendered into human-readable text or Markdown-style tables with headers and notes ; Flattened spreadsheet text wrapped in the same Document structure as other unstructured sources ; Flattened documents pass through chunking, embedding, Chroma and lexical indexing ; Representative report-like spreadsheets retrievable via the Docs Agent with understandable content",4 dev-days,Spreadsheet classifier (tabular vs report-like) ; DOC/DOCX parsing & ingestion,Medium
"E3 - Multi-Format Ingestion (DOC/DOCX, CSV, XLSX)",Extend the ingestion layer so DOC/DOCX are handled as unstructured documents and CSV/XLSX as structured/tabular data while reusing the existing Unstructured and Structured agents.,Dataset catalog & summaries,Build a lightweight dataset catalog for tabular sources and generate short natural-language summaries that can be indexed in Chroma to support discovery.,"Catalog tracks all tabular datasets with table name, origin file, domain, owner, update time and row count ; For each tabular dataset an LLM generates a short summary describing columns and contents ; Summaries indexed in Chroma as dataset documents with metadata linking back to underlying tables ; Users can ask high-level questions about available data and receive dataset summaries pointing to relevant tables ; Cost controls and error handling in place for summary generation",5 dev-days,Tabular CSV/XLSX → SQL ingestion ; LLM + LangChain baseline,Medium
E4 - Hybrid Retrieval & SQL Agent,Improve answer quality via hybrid (semantic plus lexical) retrieval and add a structured SQL agent with basic routing.,Lexical search + index,Integrate a lexical/BM25 search layer over the same document corpus used by Chroma.,"All chunks indexed in a lexical engine or Chroma full-text index with IDs linking back to vector entries ; API wrapper allows running keyword queries and mapping results back to document chunks ; Sanity tests show better results on keyword-heavy queries (IDs, exact names) than vector-only ; Indexing job handles updates and removals without stale entries",7 dev-days,"Chroma setup & vector index ; Config, auth & observability baseline",High
E4 - Hybrid Retrieval & SQL Agent,Improve answer quality via hybrid (semantic plus lexical) retrieval and add a structured SQL agent with basic routing.,Hybrid retriever & reranker,Combine semantic and lexical results and rerank with a cross-encoder before passing context to the LLM.,Hybrid retriever implemented with configurable weights between vector and lexical scores ; Cross-encoder reranking reorders merged candidates and selects final top-k context chunks ; Offline comparison on test questions shows hybrid plus reranker outperforms vector-only and lexical-only baselines in relevance ; Latency for hybrid retrieval and reranking measured and within agreed thresholds,7 dev-days,Lexical search + index ; Chroma setup & vector index,High
E4 - Hybrid Retrieval & SQL Agent,Improve answer quality via hybrid (semantic plus lexical) retrieval and add a structured SQL agent with basic routing.,SQL DB integration + SQL agent,Integrate Postgres or chosen SQL DB and implement a LangChain SQL agent with guardrails.,Read-only DB connection configured and health-checked from the service ; Key tables and schemas documented and included in  SQL prompts ;  SQL chain correctly answers a representative set of questions against the database ; Queries restricted to safe SELECT-only operations with graceful handling of invalid or ambiguous requests,8 dev-days,"Config, auth & observability baseline ; Tabular CSV/XLSX → SQL ingestion",High
E4 - Hybrid Retrieval & SQL Agent,Improve answer quality via hybrid (semantic plus lexical) retrieval and add a structured SQL agent with basic routing.,Router v1 + ACL/security v1,"Add a simple router to choose between docs, SQL or both and apply basic ACL filters for both RAG and SQL queries.",Rule-based or light LLM-based classifier distinguishes document-centric from data-centric questions ; Routing decisions logged for later analysis ; Document metadata includes basic ACL attributes and retrieval filters by user or role when provided ; SQL agent restricted to role-appropriate schemas and tables and unauthorized access is denied and logged,4 dev-days,SQL DB integration +  SQL agent ; Lexical search + index,High
E5 - Orchestrator & Self-RAG,Replace ad-hoc composition with a LangGraph-based multi-agent orchestrator and introduce a Self-RAG-style critic and bounded refinement loop plus telemetry.,Orchestrator graph skeleton (LangGraph),"Model the RAG workflow as a LangGraph state machine with nodes for router, agents, synthesis and critic.","Graph state defined including question, evidence, partial answers and control flags ; Nodes implemented for Router, Docs Agent, SQL Agent, Answer Synthesizer and Critic ; End-to-end RAG flow runs through the LangGraph entry point instead of ad-hoc chaining ; Errors in individual nodes produce traceable failures without corrupting global state",6 dev-days,Hybrid retriever & reranker ; SQL DB integration +  SQL agent,High
E5 - Orchestrator & Self-RAG,Replace ad-hoc composition with a LangGraph-based multi-agent orchestrator and introduce a Self-RAG-style critic and bounded refinement loop plus telemetry.,Multi-agent state & integration,Wire existing agents into the orchestrator and define robust state passing between nodes.,"Shared state type used across nodes and validated on read/write ; Each node reads and writes only its relevant fields in the state ; Router can send a question to docs, SQL or both and aggregate evidence into state ; Existing API endpoints now invoke the orchestrator graph rather than stand-alone chains",6 dev-days,Orchestrator graph skeleton (LangGraph),High
