product_id,product_name,category,unit_price,quantity_sold,revenue,sale_date,region
P001,Laptop Pro 15,Electronics,1299.99,150,194998.50,2024-01-15,North America
P002,Wireless Mouse,Electronics,29.99,500,14995.00,2024-01-15,North America
P003,Office Chair Ergonomic,Furniture,349.99,75,26249.25,2024-01-16,Europe
P004,Standing Desk,Furniture,599.99,45,26999.55,2024-01-16,Europe
P005,USB-C Hub,Electronics,49.99,300,14997.00,2024-01-17,Asia Pacific
P006,Monitor 27 inch,Electronics,399.99,120,47998.80,2024-01-17,North America
P007,Keyboard Mechanical,Electronics,89.99,200,17998.00,2024-01-18,Asia Pacific
P008,Webcam HD,Electronics,79.99,180,14398.20,2024-01-18,Europe
P009,Desk Lamp LED,Furniture,45.99,250,11497.50,2024-01-19,North America
P010,Notebook Stand,Furniture,34.99,400,13996.00,2024-01-19,Asia Pacific
P011,Headphones Wireless,Electronics,199.99,90,17999.10,2024-01-20,Europe
P012,Power Strip Smart,Electronics,39.99,350,13996.50,2024-01-20,North America
P013,Filing Cabinet,Furniture,189.99,60,11399.40,2024-01-21,Asia Pacific
P014,Whiteboard Large,Furniture,129.99,80,10399.20,2024-01-21,Europe
P015,Printer Laser,Electronics,299.99,55,16499.45,2024-01-22,North America
P016,Scanner Document,Electronics,149.99,70,10499.30,2024-01-22,Asia Pacific
P017,Desk Organizer,Furniture,24.99,600,14994.00,2024-01-23,Europe
P018,Monitor Arm,Furniture,79.99,150,11998.50,2024-01-23,North America
P019,Tablet 10 inch,Electronics,449.99,85,38249.15,2024-01-24,Asia Pacific
P020,Smart Speaker,Electronics,129.99,220,28597.80,2024-01-24,Europe
P021,External SSD 1TB,Electronics,109.99,180,19798.20,2024-01-25,North America
P022,Bookshelf 5-Tier,Furniture,89.99,95,8549.05,2024-01-25,Asia Pacific
P023,Cable Management Kit,Electronics,19.99,800,15992.00,2024-01-26,Europe
P024,Footrest Ergonomic,Furniture,49.99,170,8498.30,2024-01-26,North America
P025,Docking Station,Electronics,189.99,65,12349.35,2024-01-27,Asia Pacific
